82a309cf-1e2f-c7fa-91e5-076eacbeaded,Charli XCX,England,Pop,18804122,627256
efc589ba-a6b5-11e0-b446-00251188dd67,DJ Khaled,United States of America,Rap/Hip Hop,10236476,1028969
c9a6abd9-13c2-4086-bd5c-77f18476c4a8,Fifth Harmony,United States of America,Pop,16542219,451989
4afb2785-95f4-2c9a-8855-7f609a5678b7,The Shins,United States of America,Alternative/Indie,83942826,2245030
eb980fd2-a6b5-11e0-b446-00251188dd67,Beach House,United States of America,Alternative/Indie,59985912,1100434
e2822306-a6b5-11e0-b446-00251188dd67,Interpol,United States of America,Alternative/Indie,110296821,2155579
7056083b-74d7-0ea9-0b26-e5c224587b90,Korn,United States of America,Rock,122979609,2455573
17e80338-7f60-0b42-d4b6-e06cf45f9070,Neil Young,Canada,Rock,58861999,1656644
f0faa9d7-a6b5-11e0-b446-00251188dd67,Miguel,United States of America,Soul/R&B,10857807,669099
e24d034a-a6b5-11e0-b446-00251188dd67,Papa Roach,United States of America,Rock,73674616,2358038
e22e4bfb-a6b5-11e0-b446-00251188dd67,Christina Aguilera,United States of America,Pop,118040304,2640742
8d10b97b-7e44-92e8-4828-0bd9885114c4,The Lumineers,United States of America,Alternative/Indie,23511663,1005762
9de9c390-3838-d89e-0a2e-85a4c1791438,Aphex Twin,England,Electronica/Dance,65189571,1419548
13e67c52-294a-a96f-024e-cfc54d1a4b06,Bebe Rexha,United States,Pop,3402792,233411
29bbf3a6-8a23-433f-8dce-546fa1a06da8,SZA,United States of America,Soul/R&B,6098272,207273
af2f6bf3-6808-f119-b37a-d164a11fc0ad,Avril Lavigne,Canada,Pop,105738055,2469685
24364a52-83c5-f31a-97b6-195b139642b9,Placebo,England,Rock,179990340,2550995
d74a7d82-a201-4429-9e54-880154c4d535,a-ha,Norway,Pop,24781600,1454192
e27222a9-a6b5-11e0-b446-00251188dd67,Morrissey,England,Alternative/Indie,50981552,1153735
bb0efb5f-dab5-16b6-a996-0d8192d6b84b,Flume,Australia,Electronica/Dance,18151957,613453
169f779e-e7fe-9006-2426-13b7dbcdda6c,Paul McCartney,England,Pop,27166014,1520931
f1ae5da2-a6b5-11e0-b446-00251188dd67,French Montana,United States of America,Rap/Hip Hop,4932509,510216
e6fd9b88-43de-7303-577f-9e3d90448517,Vampire Weekend,United States of America,Alternative/Indie,90670669,2062919
fd9e3273-d060-4ed1-9a47-27a6415d3af2,30 Seconds to Mars,N\A,N\A,109166982,2241781
bfdd9f66-107f-120d-56de-a1daa547af28,Disturbed,United States of America,Rock,101553103,2270670
e528d78a-a6b5-11e0-b446-00251188dd67,John Mayer,United States of America,Rock,102673567,2315588
f10b8904-feb6-3e06-1327-76c91adad989,Of Monsters and Men,Iceland,Alternative/Indie,36566924,1148600
